docs,"gcp.labels.resource.database_id","gcp.labels.metrics.database"
2607,"cna-g-prod-proj-spg:g-prd-spg-control-csql-pg",
2607,"cna-g-prod-proj-spg:g-prd-spg-main-csql-pg",
1659,"cna-g-prod-proj-spg:g-dr-spg-main-csql-pg",
1659,"cna-g-prod-proj-spg:g-dr-spg-control-csql-pg",
946,"cna-g-prod-proj-anomalo:g-prd-anomalo-csql-pg",
711,"cna-g-prod-proj-spg:g-prd-spg-main-csql-pg",template1
711,"cna-g-prod-proj-spg:g-prd-spg-control-csql-pg",cloudsqladmin
711,"cna-g-prod-proj-spg:g-prd-spg-control-csql-pg",postgres
711,"cna-g-prod-proj-spg:g-prd-spg-main-csql-pg",postgres
711,"cna-g-prod-proj-spg:g-prd-spg-control-csql-pg",template1
711,"cna-g-prod-proj-spg:g-prd-spg-main-csql-pg",cloudsqladmin
711,"cna-g-prod-proj-spg:g-prd-spg-main-csql-pg","g-prd-spg-main-csql-pg"
711,"cna-g-prod-proj-spg:g-prd-spg-control-csql-pg","g-prd-spg-control-csql-pg"
602,"cna-g-prod-proj-anomalo:g-dr-anomalo-csql-pg",
258,"cna-g-prod-proj-anomalo:g-prd-anomalo-csql-pg",postgres
258,"cna-g-prod-proj-anomalo:g-prd-anomalo-csql-pg",cloudsqladmin
258,"cna-g-prod-proj-anomalo:g-prd-anomalo-csql-pg",anomalo
258,"cna-g-prod-proj-anomalo:g-prd-anomalo-csql-pg",template1
155,"cna-g-pre-proj-ilap:g-pre-ete1-ilap-csql-pg",
155,"cna-g-pre-proj-ilap:g-pre-ete2-ilap-csql-pg",
155,"cna-g-pre-proj-ilap:g-pre-cut3-ilap-csql-pg",
155,"cna-g-pre-proj-ilap:g-pre-cut4-ilap-csql-pg",
155,"cna-g-pre-proj-ilap:g-pre-ete3-ilap-csql-pg",
155,"cna-g-pre-proj-ilap:g-pre-ete4-ilap-csql-pg",
145,"cna-g-pre-proj-rst:g-pre-cut4-rst-csql-pg",
