index                                                                                                  docs.count store.size
.ds-logs-syslog-classic-default-2026.09.21-009002                                                       577736819        559
.ds-traces-apm-default-2026.09.16-005891                                                                278123602        553
.ds-traces-apm-default-2026.09.21-005907                                                                247968696        547
.ds-traces-apm-default-2026.09.18-005897                                                                260509994        544
.ds-traces-apm-default-2026.09.21-005905                                                                261060767        543
.ds-traces-apm-default-2026.09.15-005886                                                                251419778        542
.ds-logs-syslog-classic-default-2026.09.19-008993                                                       582308565        542
.ds-traces-apm-default-2026.09.15-005888                                                                276440004        541
.ds-traces-apm-default-2026.09.20-005903                                                                268476787        541
.ds-logs-syslog-classic-default-2026.09.19-008989                                                       593097346        541
.ds-logs-syslog-classic-default-2026.09.18-008985                                                       609541904        540
.ds-traces-apm-default-2026.09.18-005899                                                                267835002        540
.ds-traces-apm-default-2026.09.15-005884                                                                275326019        539
.ds-logs-syslog-classic-default-2026.09.17-008982                                                       583390549        539
.ds-traces-apm-default-2026.09.17-005893                                                                252502565        539
.ds-traces-apm-default-2026.09.16-005889                                                                245184152        539
.ds-traces-apm-default-2026.09.17-005895                                                                260919257        538
.ds-traces-apm-default-2026.09.19-005901                                                                269384006        538
.ds-logs-syslog-classic-default-2026.09.20-008998                                                       570990471        537
apm-transaction-enriched                                                                                189201714        501
.ds-winlogbeat-7.17.9-2026.09.12-002568                                                                 826572768        435
.ds-winlogbeat-7.17.9-2026.09.19-002571                                                                 386963358        197
transform-fleet-agents-last-seen-enrollment                                                             719276132        172
.ds-logs-system.security-default-2026.09.16-006845                                                      272108381        153
.ds-winlogbeat-8.6.2-2026.09.10-004228                                                                  223392340        136
.ds-logs-apm.error-default-2026.09.19-002601                                                             14429886        100
.ds-synthetics-icmp-default-2026.06.25-000155                                                           118178404        100
.ds-logs-apm.error-default-2026.09.20-002602                                                             14887259        100
.ds-logs-apm.error-default-2026.09.19-002600                                                             13497362        100
.ds-logs-apm.error-default-2026.09.17-002597                                                             13639006        100
.ds-synthetics-icmp-default-2025.12.10-000138                                                           123195266        100
.ds-logs-apm.error-default-2026.09.18-002598                                                             12728159        100
.ds-synthetics-icmp-default-2026.08.13-000159                                                           117392673        100
.ds-logs-apm.app.nbintake_svc-default-2026.09.01-000266                                                   9577573        100
.ds-logs-apm.error-default-2026.09.21-002604                                                             13743627        100
.ds-metricbeat-7.17.9-2026.09.16-000517                                                                  62667401        100
.ds-metricbeat-7.17.9-2026.09.12-000514                                                                  62915289        100
.ds-logs-apm.app.udms_rest_apis-default-2026.09.02-000056                                                  968177        100
.ds-logs-apm.app.papc_papcintcons1-default-2026.09.03-000062                                              3382688        100
.ds-synthetics-icmp-default-2025.10.24-000134                                                           120630586        100
.ds-synthetics-icmp-default-2026.07.20-000157                                                           114866712        100
.ds-synthetics-icmp-default-2026.05.06-000151                                                           119267853        100
.ds-synthetics-icmp-default-2025.11.16-000137                                                           120178822        100
.ds-synthetics-icmp-default-2025.09.06-000129                                                           121762339        100
.ds-synthetics-icmp-default-2026.02.21-000145                                                           119622686        100
.ds-synthetics-icmp-default-2026.01.29-000143                                                           118912542        100
.ds-synthetics-icmp-default-2026.03.17-000147                                                           125680169        100
.ds-synthetics-icmp-default-2026.01.06-000141                                                           120470602        100
.ds-synthetics-icmp-default-2026.04.12-000149                                                           120824490         99
.ds-synthetics-icmp-default-2025.09.30-000131                                                           120692125         99
.ds-synthetics-icmp-default-2026.05.30-000153                                                           119734976         99
.ds-logs-system.syslog-default-2026.09.16-001702                                                        134688982         98
.ds-metrics-system.process-default-2026.09.17-004095                                                    190021769         96
.ds-metrics-system.process-default-2026.09.16-004093                                                    189795197         95
.ds-metrics-system.process-default-2026.09.18-004097                                                    190517250         95
.ds-metrics-system.process-default-2026.09.19-004099                                                    190494730         93
.ds-logs-websphere-syslog-default-2026.09.17-002561                                                     232708958         92
.ds-metrics-system.process-default-2026.09.20-004101                                                    190185274         92
.ds-winlogbeat-8.6.2-2026.09.17-004231                                                                  153089371         90
.monitoring-es-7-2026.09.20                                                                             105988743         89
.monitoring-es-7-2026.09.19                                                                             107604653         89
.ds-logs-apm.app.rapid-default-2026.09.15-000135                                                         41069764         85
.ds-logs-apm.app.abp_web-default-2026.08.22-000052                                                      200026432         81
.monitoring-es-7-2026.09.16                                                                             106789054         78
.monitoring-es-7-2026.09.17                                                                              97260808         78
.monitoring-es-7-2026.09.18                                                                              93806273         75
.monitoring-es-7-2026.09.21                                                                              90479493         74
.ds-logs-filestream.generic-default-2026.09.17-001507                                                   200687793         74
.ds-logs-apm.app.papc_papcintcons1-default-2026.09.14-000064                                              2741111         70
.ds-metrics-system.process-default-2026.09.21-004103                                                    132537971         69
.ds-metrics-system.process-default-2026.09.15-004091                                                    187180379         69
.ds-logs-filestream.generic-default-2026.09.19-001518                                                   200110541         65
