docs,"service.name","service.environment"
14161045,"CMS-Payment",ete1
13928185,"CMS-Notes",prd
12791025,"CMS-Notes",ete1
11373412,"CMS-EFMS",ete1
6123919,rmw,drt1
6076296,"CMS-Notes",stg1
5627007,"CMS-Payment",cut1
5570698,"CMS-Notes",cut1
4576589,"CMS-EFMS",cut1
4023695,dmf,drt1
3917610,rmw,prd1
3425403,"rst-data",prd1
3075221,rmw,ete1
2896635,dmf,prd1
2559157,rmw,cut1
2363029,identityiq,drt2
1747712,identityiq,prd1
1620326,CNACentral,DRT2
1603405,dmf,cut1
1523277,"suruwt-data-api",prd1
1439363,"rst-data",ete1
1432124,"rst-api",prd1
1279790,dmf,ete1
1196400,"ilap-api",prd1
1139208,"ilap-api",stg1
1114905,"rst-data",ete4
1067231,"ecs-update-api",
1046149,"document management facility prod",prd1
938974,"sold-program-database",ete1
885719,"rst-data",ete3
870067,agencyfeedfoundation,ete2
862882,"rst-data",ete2
829905,lifeagents,ete2
764658,codetable,drt1
750923,lifeagents,drt1
750369,policycopy,drt1
739970,sbscform,drt1
722318,surclaim,prd1
705420,"gler-tap-rest-data-api",drt1
700860,dlat,drt1
699845,"endorsements-portal",drt1
699742,"oltp-data-api",drt1
698212,"rapid-web-test",unknown
695296,"camilion-services",drt1
670807,surclaim,cut1
663983,"ilap-api",ete1
659302,"RST-TAP-API",PRD
656399,"rst-data",stg1
651447,agencyfeedfoundation,drt1
642961,gslrating,ete4
